substance_id,canonical_name,canonical_english_name,canonical_cas,alias_raw,alias_type,confidence,rationale
2595,"1,2-ジブロモ-1,1,2,2-テトラフルオロエタン（別名：ハロン-2402）",,124-73-2,ハロン-2402,explicit_alias,high,Alias text is explicitly shown in parentheses after 別名.
490,"2,2,4-トリメチル-1,3-ペンタンジオールジイソブチレート (別名：TXIB)",,6846-50-0,TXIB,abbreviation,medium,Explicit alias abbreviation in the row.
2587,"2,2-ビス(エチルスルホニル)プロパン (別名：スルホナール）",,115-24-2,スルホナール,explicit_alias,high,Alias text is explicitly shown in parentheses after 別名.
2648,"2,4-トリレンジイソシアネート (別名：2,4-トルエンジイソシアネート)",,584-84-9,"2,4-トルエンジイソシアネート",explicit_alias,high,Alias text is explicitly shown in parentheses after 別名.
2553,"2,6-トリレンジイソシアネート  (別名：2,6-トルエンジイソシアネート)",,91-08-7,"2,6-トルエンジイソシアネート",explicit_alias,high,Alias text is explicitly shown in parentheses after 別名.
2555,2-ナフチルアミン　（別名：β-ナフチルアミン）,,91-59-8,β-ナフチルアミン,explicit_alias,high,Alias text is explicitly shown in parentheses after 別名.
487,2-ブテナール（別名:クロトンアルデヒド（(E)-2-ブテナールと(Z)-2-ブテナールの異性体混合物））,,4170-30-3,クロトンアルデヒド,explicit_alias,high,Kept the clean common name and excluded stereochemistry detail.
509,"3,3'‐［（3,3'‐ジメトキシ‐1,1'‐ビフェニル‐4,4'‐ジイル）ビス（アゾ）］ビス（5‐アミノ‐4‐ヒドロキシ‐2,7‐ナフタレンジスルホン酸）二銅（II）四ナトリウム（別名CIダイレクトブルー218）",,28407-37-6,CIダイレクトブルー218,explicit_alias,high,Explicit 別名 text in the row.
2624,"3,3-ジクロロ-1,1,1,2,2-ペンタフルオロプロパン（別名：HCFC-225ca）",,422-56-0,HCFC-225ca,abbreviation,medium,Abbreviation is explicitly shown in parentheses after 別名.
508,"4, 5, 6, 7-テトラクロロ-1, 3-ジヒドロベンゾ[c]フラン-2-オン (別名フサライド)",,27355-22-2,フサライド,explicit_alias,high,Explicit 別名 text in the row.
2546,4‐ヒドロキシ‐3‐［1‐（4‐クロロフェニル）‐3‐オキソブチル］クマリン（別名クマクロール）,,81-82-3,クマクロール,explicit_alias,high,Alias text is explicitly shown in parentheses after 別名.
484,"5-クロロ-2-(2,4-ジクロロフェノキシ)フェノール（別名トリクロサン）",,3380-34-5,トリクロサン,explicit_alias,high,Explicit 別名 text in the row.
481,5‐アミノ‐4‐クロロ‐2‐フェニルピリダジン‐3（2H）‐オン（別名クロリダゾン）,,1698-60-8,クロリダゾン,explicit_alias,high,Explicit 別名 text in the row.
515,"α,α,α-トリフルオロ-3'-イソプロポキシ-o-トルアニリド（別名：フルトラニル）",,66332-96-5,フルトラニル,explicit_alias,high,Explicit 別名 text in the row.
1562,りん酸カリウム（別名りん酸三カリウム）,Tripotassium phosphate,7778-53-2,りん酸三カリウム,alias,high,Explicit alias text in source row.
1567,りん酸ジメチル＝（Ｅ）－１－（Ｎ，Ｎ－ジメチルカルバモイル）－１－プロペン－２－イル（別名ジクロトホス）,"Dimethyl (E)-1-(N,N-dimethylcarbamoyl)-1-propen-2-yl phosphate (alias: Dicrotophos)",141-66-2,Dicrotophos,alias,high,Explicit alias text in source row.
1567,りん酸ジメチル＝（Ｅ）－１－（Ｎ，Ｎ－ジメチルカルバモイル）－１－プロペン－２－イル（別名ジクロトホス）,"Dimethyl (E)-1-(N,N-dimethylcarbamoyl)-1-propen-2-yl phosphate (alias: Dicrotophos)",141-66-2,ジクロトホス,alias,high,Explicit alias text in source row.
1568,りん酸ジメチル＝（Ｅ）－１－（Ｎ－メチルカルバモイル）－１－プロペン－２－イル（別名モノクロトホス）,Dimethyl (E)-1-(N-methylcarbamoyl)-1-propen-2-yl phosphate (alias: Monocrotophos),6923-22-4,Monocrotophos,alias,high,Explicit alias text in source row.
1568,りん酸ジメチル＝（Ｅ）－１－（Ｎ－メチルカルバモイル）－１－プロペン－２－イル（別名モノクロトホス）,Dimethyl (E)-1-(N-methylcarbamoyl)-1-propen-2-yl phosphate (alias: Monocrotophos),6923-22-4,モノクロトホス,alias,high,Explicit alias text in source row.
1569,りん酸ジメチル＝１－メトキシカルボニル－１－プロペン－２－イル（別名メビンホス）,Dimethyl 1-methoxycarbonyl-1-propen-2-yl phosphate (alias: Mevinphos),7786-34-7,Mevinphos,alias,high,Explicit alias text in source row.
1569,りん酸ジメチル＝１－メトキシカルボニル－１－プロペン－２－イル（別名メビンホス）,Dimethyl 1-methoxycarbonyl-1-propen-2-yl phosphate (alias: Mevinphos),7786-34-7,メビンホス,alias,high,Explicit alias text in source row.
1579,りん酸ナトリウム（別名りん酸三ナトリウム）,Trisodium phosphate,7601-54-9,りん酸三ナトリウム,alias,high,Explicit alias text in source row.
1566,りん酸１，２－ジブロモ－２，２－ジクロロエチル＝ジメチル（別名ナレド）,"1,2-Dibromo-2,2-dichloroethyl dimethyl phosphate (alias: Naled)",300-76-5,Naled,alias,high,Explicit alias text in source row.
1566,りん酸１，２－ジブロモ－２，２－ジクロロエチル＝ジメチル（別名ナレド）,"1,2-Dibromo-2,2-dichloroethyl dimethyl phosphate (alias: Naled)",300-76-5,ナレド,alias,high,Explicit alias text in source row.
86,アセタゾラミド（別名アセタゾールアミド）,Acetazolamide,59-66-5,アセタゾールアミド,alias,high,Explicit 別名 text in the canonical Japanese name.
89,アセチルサリチル酸（別名アスピリン）,Acetylsalicylic acid (alias: Aspirin),50-78-2,Aspirin,common_name,high,Explicit alias text in the canonical English name.
1601,アゾベンゼン（別名ジフェニルジアゼン）,Azobenzene (alias: Diphenyldiazene),103-33-3,Diphenyldiazene,alias,high,Explicit alias text in source row.
1601,アゾベンゼン（別名ジフェニルジアゼン）,Azobenzene (alias: Diphenyldiazene),103-33-3,ジフェニルジアゼン,alias,high,Explicit alias text in source row.
148,アルファ，アルファ，アルファ－トリフルオロ－２，６－ジニトロ－Ｎ，Ｎ－ジプロピル－パラ－トルイジン（別名トリフルラリン）,"α,α,α-Trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine (alias: Trifluralin)",1582-09-8,Trifluralin,alias,high,Explicit alias text in the canonical English name.
153,アルファ－シアノ－３－フェノキシベンジル＝２，２－ジクロロ－１－（４－エトキシフェニル）－１－シクロプロパンカルボキシラート（別名シクロプロトリン）,"α-Cyano-3-phenoxybenzyl 2,2-dichloro-1-(4-ethoxyphenyl)-1-cyclopropanecarboxylate (alias: Cycloprothrin)",63935-38-6,Cycloprothrin,alias,high,Explicit alias text in the canonical English name.
154,アルファ－シアノ－３－フェノキシベンジル＝３－（２，２－ジクロロビニル）－２，２－ジメチルシクロプロパンカルボキシラート（別名シペルメトリン）,"α-Cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate (alias: Cypermethrin)",52315-07-8,Cypermethrin,alias,high,Explicit alias text in the canonical English name.
157,アルファ－シアノ－４－フルオロ－３－フェノキシベンジル＝３－（２，２－ジクロロビニル）－２，２－ジメチルシクロプロパンカルボキシラート（別名シフルトリン）,"α-Cyano-4-fluoro-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate (alias: Cyfluthrin)",68359-37-5,Cyfluthrin,alias,high,Explicit alias text in the canonical English name.
512,アルミニウム＝トリス（エチル＝ホスホナート）（別名：ホセチル又はホセチルアルミニウム）,,39148-24-8,ホセチル,explicit_alias,high,Explicit 別名 text in the row.
512,アルミニウム＝トリス（エチル＝ホスホナート）（別名：ホセチル又はホセチルアルミニウム）,,39148-24-8,ホセチルアルミニウム,explicit_alias,high,Explicit 別名 text in the row.
1627,アントラセン－９，１０－ジオン（別名アントラキノン）,"Anthracene-9,10-dione (alias: Anthraquinone)",84-65-1,Anthraquinone,alias,high,Explicit alias text in source row.
1627,アントラセン－９，１０－ジオン（別名アントラキノン）,"Anthracene-9,10-dione (alias: Anthraquinone)",84-65-1,アントラキノン,alias,high,Explicit alias text in source row.
169,イソニコチン酸ヒドラジド（別名イソニアジド）,Isonicotinic acid hydrazide (alias: Isoniazid),54-85-3,Isoniazid,alias,high,Explicit alias text in the canonical English name.
517,イソプロピルアアンモニウム=（ＲＳ）－２－（４－イソプロピル－４－メチル－５－オキソ－２－イミダゾリン－２－イル）ニコチン酸（別名：イマザピル（イソプロピルアミン塩））,,81510-83-0,イマザピル,explicit_alias,high,Kept the clean common name and excluded the salt descriptor.
182,イソプロピル＝２－（４－メトキシビフェニル－３－イル）ヒドラジノホルマート（別名ビフェナゼート）,Isopropyl 2-(4-methoxybiphenyl-3-yl)hydrazinoformate (alias: Bifenazate),149877-41-8,Bifenazate,alias,high,Explicit alias text in the canonical English name.
179,イソプロピル＝３－クロロカルバニラート（別名クロルプロファム又はＩＰＣ）,Isopropyl 3-chlorocarbanilate (alias: Chlorpropham or IPC),101-21-3,Chlorpropham,common_name,high,"Explicit alias text in the canonical English name; split from the visible ""or"" list."
179,イソプロピル＝３－クロロカルバニラート（別名クロルプロファム又はＩＰＣ）,Isopropyl 3-chlorocarbanilate (alias: Chlorpropham or IPC),101-21-3,IPC,abbreviation,high,"Explicit alias text in the canonical English name; split from the visible ""or"" list."
183,イソペンチルアルコール（別名イソアミルアルコール）,Isopentyl alcohol (alias: Isoamylalcohol),123-51-3,Isoamylalcohol,common_name,high,Explicit alias text in the canonical English name.
2522,エチル（２－メルカプトベンゾエート）水銀ナトリウム塩　  (別名：チメロサール）,,54-64-8,チメロサール,explicit_alias,high,Alias text is explicitly shown in parentheses after 別名.
